Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID,hashtags,diseases,medical_advice,topic,workplace_related,medical_medicine_related,discrimination,medicine_related,relational_challenges,social_emotional_challenges,managing_diseases
Bipolar,a Biomechanical Engineer 1,San Diego State University,The Worklife Bowl,a year,"Step son recently diagnosed bipolar. Senior year at USC. Had to pull out of school, fly back home and entered in-patient facility by way of Baker Act. Has had issues since teenage years with depression and anxiety. Onset of BPD was affecting school.

Seriously difficult situation. Does anyone care to share experiences with mental health issues with BPD? Mom is severely stressed and was already dealing with depression due to career upheaval",22.0,29.0,,9/20/24 10:33,https://www.fishbowlapp.com/post/step-son-recently-diagnosed-bipolar-senior-year-at-usc-had-to-pull-out-of-school-fly-back-home-and-entered-in-patient-facility-by,2.0,No hashtags found,Unknown,Yes.,Bipolar disorder and,No.,Yes.,No.,Yes.,Yes.,No.,No.
Bipolar,an Associate,San Diego State University,Big Law,a year,"Any bipolar associates find pulling these hours just like significantly harder than others? People talk about working fine on 1-3 hours of sleep or b2b all nighters. I just feel like my meds make me want 9–10 hours of sleep, and I feel like a zombie getting under 4-5. Like unable to operate. Don’t know how sustainable this is if the market picks up.",6.0,44.0,6.0,9/20/24 10:34,https://www.fishbowlapp.com/post/any-bipolar-associates-find-pulling-these-hours-just-like-significantly-harder-than-others-people-talk-about-working,3.0,No hashtags found,Unknown,No.,Bipolar disorder and,No.,No.,No.,Yes.,No.,No.,No
Bipolar,a HR and Payroll Manager,San Diego State University,Confession,8 months,"So I have a longtime friend that keeps coming to me for HR advice and she wants me to ""give her permission"" to use her ADA accommodations (we don't work together). She calls out often, she's bipolar. I get it, I do. My husband is bipolar but it's like she treats me like the bipolar whisperer and comes to me for EVERYTHING. I can't be someone's everything, not even my spouse. She has a therapist, but she's constantly asking if she is going to be fired. Story continues in comments.",4.0,20.0,1.0,9/20/24 10:35,https://www.fishbowlapp.com/post/so-i-have-a-longtime-friend-that-keeps-coming-to-me-for-hr-advice-and-she-wants-me-to-give-her-permission-to-use-her-ada-accommodations-we,4.0,No hashtags found,Unknown,No.,HR advice for bipolar friend,Yes.,No.,Yes.,No.,Yes.,Yes.,No.
Bipolar,a Manager,San Diego State University,Consulting,3 months,"Normally I'm not super sensitive but it bothers me how people misuse medical conditions as slurs or jokes, especially in the office. OCD is not a cutesy description. Bipolar is not a cutesy description. Alcoholic is not a cutesy description. These are real medical conditions and it is cruel and offensive to use them as slurs or jokes. If you don't go around calling people f*ggots and r*tards then don't go around calling people bipolar, OCD, or alcoholic who aren't.",11.0,26.0,2.0,9/20/24 10:35,https://www.fishbowlapp.com/post/normally-im-not-super-sensitive-but-it-bothers-me-how-people-misuse-medical-conditions-as-slurs-or-jokes-ocd-is-not-a-cutesy,5.0,No hashtags found,OCD,No.,Misuse of medical conditions,Yes.,No.,No.,No.,No.,No.,No.
Bipolar,a Director 1,San Diego State University,Consulting,8 months,"Coming off of a few days with a parent who is likely bipolar. Parent does therapy, but has not been diagnosed or medicated. I used to hope for change and now I’ve accepted this is just reality - but it still takes a toll on me and I have to detox for a few days after interactions. Anyone BTDT? Advice?",4.0,13.0,1.0,9/20/24 10:36,https://www.fishbowlapp.com/post/coming-off-of-a-few-days-with-a-parent-who-is-likely-bipolar-parent-does-therapy-but-has-not-been-diagnosed-or-medicated-i,6.0,No hashtags found,Unknown,No.,Dealing with bipolar parent,No.,No.,No.,No.,Yes.,No.,No.
Bipolar,an Associate,San Diego State University,Big Law,8 months,"Hi folks.

After 1.5 years in this job, I fear I’m not cut out for it. I have a history of mental illness (anxiety and bipolar disorder). I have an extreme fear of making mistakes, being disbarred, and my life and personal finances falling into ruins.

I believe I’m more cut out for an inhouse job with more predictability and everyone pulling in the same direction. But I think a supply chain/procurement commercial role might fit me better. I’m good with contracts, understanding markets and",7.0,12.0,1.0,9/20/24 10:36,https://www.fishbowlapp.com/post/hi-folks-after-1-5-years-in-this-job-i-fear-im-not-cut-out-for-it-i-have-a-history-of-mental-illness-anxiety-and-bipolar-disorder-i,7.0,No hashtags found,Unknown,No.,Job change for mental health,Yes.,No.,No.,No.,No.,No.,Yes.
Bipolar,a HR and Payroll Manager,San Diego State University,Human Resources,a year,"So I have a friend (yes a friend and not me) working for a large corporation, and she’s having trouble filing her ADA accommodations for her bipolar disorder. Her company is stating they may have to re-evaluate her job performance every quarter. When she replied “would you ask that if someone in a wheelchair?” They didn’t know how to reply. Can you treat one disability differently than another if they have an ADA on file? I thought that was illegal…",7.0,14.0,3.0,9/20/24 10:36,https://www.fishbowlapp.com/post/so-i-have-a-friend-yes-a-friend-and-not-me-working-for-a-large-corporation-and-shes-having-trouble-filing-her-ada-accommodations-for-her,8.0,No hashtags found,Unknown,No.,ADA accommodations and discrimination.,Yes.,No.,Yes.,No.,Yes.,Yes.,No.
Bipolar,a Consultant 1,San Diego State University,Depression/Anxiety Talk,8 months,I am dating someone for few months now. Before getting into relationship I did get him aware of my mental health issues. We have been going through tough phase and I was little upset with him on it. Later when we decided to meet I thought of putting happy face because I was meeting him after a long time. When we met he jokingly asked me if I’m bipolar and said my text messages when I was upset were indicating towards it. I was shocked and couldn’t react much at that time.,15.0,10.0,3.0,9/20/24 10:37,https://www.fishbowlapp.com/post/i-am-dating-someone-for-few-months-now-before-getting-into-relationship-i-did-get-him-aware-of-my-mental-health-issues-we,9.0,No hashtags found,Unknown,No.,Mental health in relationships,No.,No.,Yes.,No.,Yes.,Yes.,No.
Bipolar,an Attorney,San Diego State University,Law,a year,"I’m a partner who haven’t had any bipolar symptoms in 10 years. This week I starting cycling between hypomanic and depression sleeping 16 hours a day. I moved all my hearings this week and explained to my senior associate and paralegal, I’ll need to lean on them. What else can I do to take care of my professional responsibilities?",7.0,8.0,,9/20/24 10:37,https://www.fishbowlapp.com/post/im-a-partner-who-havent-had-any-bipolar-symptoms-in-10-years-this-week-i-starting-cycling-between-hypomanic-and-depression,10.0,No hashtags found,Unknown,No,Managing bipolar symptoms.,Yes.,No.,No.,No.,No.,No.,No.
Bipolar,a Manager,San Diego State University,Confession,5 months,"I think my husband is bipolar. His sudden change of behavior and douche attitude is starting to get emotionally tiring. One moment we're good, 5 minutes later he isn't speaking to me and telling me to shut up, I think he should get help but I know he likely won't go unless I book an appointment with him. Anyone dealing with a smiliar partner? How did you get past it?",2.0,7.0,,9/20/24 10:37,https://www.fishbowlapp.com/post/i-think-my-husband-is-bipolar-his-sudden-change-of-behavior-and-douche-attitude-is-starting-to-get-emotionally-tiring-one,11.0,No hashtags found,Unknown,No.,Dealing with bipolar spouse,No.,No.,Yes.,No.,Yes.,Yes.,No
Bipolar,a Senior Associate,San Diego State University,Confession,3 months,Has anyone had a bipolar manager ? How did you manage?,1.0,12.0,1.0,9/20/24 10:38,https://www.fishbowlapp.com/post/has-anyone-had-a-bipolar-manager-how-did-you-manage,12.0,No hashtags found,Unknown,No.,Bipolar manager.,Yes.,No.,No.,No.,No.,No.,No.
Bipolar,a Time OFF From Healthcare,San Diego State University,The Worklife Bowl,8 months,"Advise? New to small company. Had no orientation or training plan. Boss went out on planned leave 4 wks in (wasn’t informed in interview). After 4 wks she’s back. Same concerns I’m seeing: unorganized, scattered, lack of planning, lack of leadership, and direction for new person (me), inconsistent info, false promises, lack of follow through. She disclosed she lives with bipolar swings and adhd. No judgement. I feel a lot of what I’m experiencing is related this her disclosure. Cont. in comments",9.0,11.0,1.0,9/20/24 10:38,https://www.fishbowlapp.com/post/advise-new-to-small-company-had-no-orientation-or-training-plan-boss-went-out-on-planned-leave-4-wks-in-wasnt-informed-in-interview,13.0,No hashtags found,Unknown,No,Small company management.,Yes.,No.,No.,No.,No.,No.,No.
Bipolar,a Senior Associate Attorney,San Diego State University,Law,6 months,Any other bipolar attorneys here? How do you manage your mental health and this profession?,13.0,6.0,1.0,9/20/24 10:38,https://www.fishbowlapp.com/post/any-other-bipolar-attorneys-here-how-do-you-manage-your-mental-health-and-this-profession,14.0,No hashtags found,Unknown,No.,"Bipolar attorneys,",Yes.,No.,No.,No.,No.,No.,No.
Bipolar,a Senior Associate,San Diego State University,Consulting,a year,I am bipolar. Should I start saying yes in job applications when they ask for disabilities? I have been saying no so far but I’ve heard having a disability makes it easier to get a job. Not sure though.,1.0,8.0,,9/20/24 10:39,https://www.fishbowlapp.com/post/i-am-bipolar-should-i-start-saying-yes-in-job-applications-when-they-ask-for-disabilities-i-have-been-saying-no-so-far-but-ive,15.0,No hashtags found,Unknown,No.,Disclosing bipolar disorder.,No.,No.,No.,No.,No.,No.,No.
Bipolar,an Office Manager,San Diego State University,Healthcare,a year,"I have a toxic, negative, bipolar, coworker. I can almost ALWAYS let it roll off my shoulders. But she listens to me & mumbles about me right next to me. Threatens to walk out all day. It's literally taking a toll on my spirit! My ""a girls, girl"". I root for women usually. I'm not used to this behavior that is tolerated, enable & ignored. I sit there looking around for ""Alan Funt""!!
Three Asshole Rule- if u come across more than 3 aholes in a short time, chances are u r the a hole????",5.0,11.0,,9/20/24 10:39,https://www.fishbowlapp.com/post/i-have-a-toxic-negative-bipolar-coworker-i-can-almost-always-let-it-roll-off-my-shoulders-but-she-listens-to-me-mumbles-about-me,16.0,No hashtags found,Unknown,No.,Toxic coworker behavior,Yes.,No.,Yes.,No.,No.,Yes.,No.
Bipolar,a Consultant,San Diego State University,Christian consultants,a year,"There are some pastors who are against mental health medicines (ADD, Bipolar, Depression, etc) . They preach deliverance, fasting, and prayer instead of medication. What’s your opinion on Christians taking mental health medications?",1.0,9.0,1.0,9/20/24 10:40,https://www.fishbowlapp.com/post/addmental-health-medicine,17.0,No hashtags found,Depression,No,Christianity and mental health,No.,No.,No.,Yes.,No.,No.,No.
Bipolar,,San Diego State University,Special Education Teachers,a year,"Sped teachers- I’d like your opinion…

I’ve noticed that some of our sped teachers aren’t adding academic goals to the IEP, esp is the student is let’s say EI- Emotionally Impaired. We recently certified a kid EI. The boy had high absenteeism, but his absences were directly related to his anxiety and depression. He worries about his mother who is Bipolar and drug addicted. He’s also scared something bad is going to happen to her. The kid didn’t want to be in school, he wanted to be able",1.0,8.0,,9/20/24 10:40,https://www.fishbowlapp.com/post/sped-teachers-id-like-your-opinion-ive-noticed-that-some-of-our-sped-teachers-arent-adding-academic-goals-to-the-iep-esp,18.0,No hashtags found,Anxiety,No.,Special Education Goal Setting.,Yes.,No.,No.,No.,No.,No.,No.
Bipolar,a Manager 1,San Diego State University,Consulting,3 months,"So here’s the deal and I’m cool with troll/funny responses.

I’ve managed Bipolar Disorder (if you don’t know it’s like everything not good all at once - anxiety, depression, endless energy, too tired) ADD & C-PTSD for most of my life. Hold off on calling the helpline or suggesting that or w/e - the thought of doing anything stupid like harming myself just isn’t how my brain works.

I’m a SM and have been dealing with a lot of project stress lately (really like a year straight) - cont. 👇",4.0,12.0,,9/20/24 10:41,https://www.fishbowlapp.com/post/so-heres-the-deal-and-im-cool-with-trollfunny-responses-ive-managed-bipolar-disorder-if-you-dont-know-its-like-everything-not-good,19.0,No hashtags found,Unknown,No,Managing mental health while working,Yes.,No.,No.,Yes.,Yes.,No.,Yes.
Bipolar,a Senior Manager,San Diego State University,Consulting,10 months,"Incredibly intelligent but no organisational capability and while am very articulate, very awkward to engage with. Lead strategy projects and while the team works, I behind the scenes write the strategy in a day. Getting tested for ADHD and possibly ASD. Female 39. Also have GAD,MDD and cTPSD and bipolar - but the bipolar is being recoloured as misdiagnosed ADHD. Would love to hear stories of late diagnoses and what your life is like working in consulting",3.0,4.0,1.0,9/20/24 10:41,https://www.fishbowlapp.com/post/incredibly-intelligent-but-no-organisational-capability-and-while-am-very-articulate-very-awkward-to-engage-with-lead,20.0,No hashtags found,ADHD,No.,Late ADHD diagnosis in consulting,Yes.,No.,No.,No,Yes.,No.,Yes.
Bipolar,a Sales,San Diego State University,Confession,4 months,"I’ve worked with two therapists and a psychiatrist. The therapists I worked with for 3 months and 4 months. The psych I saw for an hour. They diagnosed me with PTSD and Bipolar Disorder. I’m no psych expert but I was a little shocked at that. Is that normal to diagnose someone with that after just one hour? Yes, I’m anxious. Ever since I was a kid. And am now in depression but never would have categorized myself as BPD. I have a job, I’ve paid down my student loans from 5 figures to 4 and will",3.0,37.0,,9/20/24 10:42,https://www.fishbowlapp.com/post/ive-worked-with-two-therapists-and-a-psychiatrist-the-therapists-i-worked-with-for-3-months-and-4-months-the-psych-i-saw-for,21.0,No hashtags found,PTSD,Yes.,Psychiatric diagnosis accuracy.,No.,No.,No.,Yes.,No.,No.,Yes.
Bipolar,a Customer Service,San Diego State University,Retail & Hospitality,3 months,"Have you ever had to work with another co worker in your area who is repeatedly lazy and difficult? I work in a big chain store and the guy I work with in my area has been there 20 years. Ive been there 1.5 years. This guy is bipolar & negative nancy all day long which I try to avoid by ignoring .He is also very lazy and takes ages to get anything done. We share 3 isles and have to put stock away, ticketing/ pricing and help with making displays. I think about leaving all day long. Very tiring!",4.0,5.0,,9/20/24 10:42,https://www.fishbowlapp.com/post/have-you-ever-had-to-work-with-another-co-worker-in-your-area-who-is-repeatedly-lazy-and-difficult-i-work-in-a-big-chain-store-and,22.0,No hashtags found,Unknown,No.,Difficult Co-worker.,Yes.,No.,Yes.,No.,No.,Yes.,No.
Bipolar,a Manager 1,San Diego State University,Depression/Anxiety Talk,9 months,"Feeling unsupported by lifelong friends. I suffer from bipolar depression (they know this), and will say things like “whatever you need, let us know, we’re family, we’re here for you” etc. but when I actually need something, often at inconvenient times, they are nowhere to be found. I really need one of my friends to come see me on Xmas eve or Xmas day, even if for just 1 hr., but they can’t be bothered. If the shoe was on the other foot, I would likely be there in a heartbeat.",6.0,6.0,,9/20/24 10:43,https://www.fishbowlapp.com/post/feeling-unsupported-by-lifelong-friends-i-suffer-from-bipolar-depression-they-know-this-and-will-say-things-like-whatever-you,23.0,No hashtags found,Unknown,No.,Lack of support from,No.,No.,No.,No.,Yes.,No.,No.
Bipolar,a Manager,San Diego State University,Confession,a year,"This job is making me bipolar - last week felt on top of the world (connected, competent, valued) and today I feel overwhelmed, burnt out, like a failure.",12.0,5.0,,9/20/24 10:43,https://www.fishbowlapp.com/post/this-job-is-making-me-bipolar-last-week-felt-on-top-of-the-world-connected-competent-valued-and-today-i-feel-overwhelmed-burnt,24.0,No hashtags found,Unknown,No.,Job-related stress.,Yes.,No.,No.,No.,No.,No.,No.
Bipolar,an Attorney,San Diego State University,Black in Law,10 months,"Inspired by the other post here. How open are you with colleagues about mental illness, depression, and all that? I have bipolar II and I hide it from people because I feel it's none of their business, but a white associate just admitted to me at lunch that they have it. I wanted to share that I did too but I hesitated because you know...twice as hard. But should I?",5.0,4.0,,9/20/24 10:44,https://www.fishbowlapp.com/post/how-open-are-you-with-colleagues-about-mental-illness-depression-and-all-that-i-have-bipolar-ii-and-i-hide-it-from-people-because,25.0,No hashtags found,Unknown,No,Mental illness in workplace,Yes.,No.,No.,No.,Yes.,No.,No
Bipolar,an Executive Assistant 1,San Diego State University,Depression/Anxiety Talk,2 months,"Someone help me to understand, I am a Army Veteran, 44 years old, and a mother of 6. I suffer from PTSD. Severe manic bipolar depression, and severe anxiety. I have been with this man for almost 13 years. He is a narcissistic, bipolar Hispanic man who loves to belittle me, make fun of me, put me down in ways that you would never believe, and has a tendency to hurt me just to make his self feel more like a man. I don't know how to get free safely. I'm so scared and extremely unhappy. Help pls",1.0,3.0,,9/20/24 10:44,https://www.fishbowlapp.com/post/someone-help-me-to-understand-i-am-a-army-veteran-44-years-old-and-a-mother-of-6-i-suffer-from-ptsd-severe-manic-bipolar-depression,26.0,No hashtags found,PTSD,No.,Domestic abuse.,No.,No.,Yes.,No.,Yes.,Yes.,No.
Bipolar,an Analyst,San Diego State University,Staying Healthy,7 months,"I unfortunately think I have issues related to mental health and cognitive abilities. I failed a few classes in college due to Generalized Anxiety Disorder but now I’m starting to think I have something bigger like bipolar disorder, or ADHD, or some form of autism. Is there a specialist who can help me get tested for these issues?",5.0,6.0,,9/20/24 10:45,https://www.fishbowlapp.com/post/i-unfortunately-think-i-have-issues-related-to-mental-health-and-cognitive-abilities-i-failed-a-few-classes-in-college,27.0,No hashtags found,Anxiety,Yes.,Mental health testing.,Yes.,Yes.,No.,No,No.,No.,No.
Bipolar,a Consultant,San Diego State University,Christian consultants,8 months,"Hi all, I have a similar question on the hearing God's voice thing. I actually have struggled for many years with bipolar and whenever I have a manic episode, which unfortunately happened very recently again when we changed some things with my medication, I feel that I hear God and also the devil in different ways and I'm so convinced and then it all comes crashing down when I finally get help and move out of the episode. And my faith is shaken. Would appreciate any prayer or wisdom you have.",1.0,4.0,,9/20/24 10:45,https://www.fishbowlapp.com/post/hi-all-i-have-a-similar-question-on-the-hearing-gods-voice-thing-i-actually-have-struggled-for-many-years-with-bipolar-and,28.0,No hashtags found,Unknown,No.,Hearing God's voice,No.,No.,No.,No.,No.,No.,No.
Bipolar,a Cashier Barista,San Diego State University,Retail & Hospitality,5 months,"I have no sense of smell, I'm deaf, I'm blind in right eye, Im diabetic, I have arthritis in all my joints. I am autistic and bipolar, I have anxiety, depression, PTSD, OCD, ADHD. I have learning disabilities. I'm not good with technology or interacting with other. I can't stand on my feet all day. I've been unemployed for about 8 months. I was in the fast food/restaurant industry for about 10 years but I was constantly job hopping every year cuz it's not a good job field for me.",1.0,5.0,,9/20/24 10:45,https://www.fishbowlapp.com/post/i-have-no-sense-of-smell-im-deaf-im-blind-in-right-eye-im-diabetic-i-have-arthritis-in-all-my-joints-i-am-autistic-and-bipolar,29.0,No hashtags found,Autism,No.,Employment challenges.,No.,No.,No.,No.,No.,No.,No.
Bipolar,a Senior .NET Developer,San Diego State University,Jobs in Tech,2 months,"I have a choice of retiring now and receiving a junior developer’s wage for life from social security or working again. I have bipolar 1, and I keep losing jobs for “acting weird:” 21 jobs lost in 16 years. I am tempted to take the Social Security Disability Income as a result. Does anyone else have a better idea?",1.0,7.0,,9/20/24 10:46,https://www.fishbowlapp.com/post/i-have-a-choice-of-retiring-now-and-receiving-a-junior-developers-wage-for-life-from-social-security-or-working-again-i-have-bipolar,30.0,No hashtags found,Unknown,No.,Retirement and Disability.,Yes.,No.,Yes.,No.,No.,Yes.,No.
Bipolar,a Digital Marketing Specialist,San Diego State University,Junior Creatives,4 months,"I’m new to copywriting, and my 3rd interview was likely to see if I “vibe” with the team (not creatives - all strat) because they loved my writing assignment. The issue is that I’m bipolar + ADHD. I don’t mask well when anxious, so my words get away from me. I always think I’m kicking ass (well hello grandiosity), but often times…cringe. My dream is to be the guy in The Big Short who’s so good at his job that no one cares that he lacks social grace.

They said by end of day Friday. Well.",1.0,12.0,,9/20/24 10:46,https://www.fishbowlapp.com/post/im-new-to-copywriting-and-my-3rd-interview-was-likely-to-see-if-i-vibe-with-the-team-not-creatives-all-strat-because-they-loved,31.0,No hashtags found,Unknown,No.,Copywriting and mental health,Yes.,No.,No.,No,No.,No.,No.
Bipolar,an UX Designer,San Diego State University,ADHD Professionals,10 months,"I am really struggling on focusing at work. Does anyone have advice on adult diagnoses, multiple overlapping diagnoses, or misdiagnoses? I was diagnosed with bipolar and anxiety disorder about 15 years ago. I always did very well in school but looking back, I always had to learn to do things “my way.” Like, I had coping strategies for learning new topics or doing homework. In a way, the diagnoses and labels don’t matter-more about feeling regulated and able to be successful in life.",2.0,5.0,,9/20/24 10:47,https://www.fishbowlapp.com/post/i-am-really-struggling-on-focusing-at-work-does-anyone-have-advice-on-adult-diagnoses-multiple-overlapping-diagnoses-or,32.0,No hashtags found,Unknown,No.,Workplace focus and diagnoses,Yes.,No.,No.,No.,No.,No.,Yes.
Bipolar,an Executive Assistant 1,San Diego State University,Depression/Anxiety Talk,a month,"I have bipolar that isn't currently well managed & I messed up. I said somethings to a couple members of team I lead I shouldn't have. At a minimum damaged trust & showed very bad judgement, so inappropriate for that, but not demeaning, derogatory, or insulting etc but definitely wrong. HR is involved & as routine legal. I'm not sure how much I've screwed myself, or how to protect myself, or what recourse I may have if the worst happens. I've needed help for a while but hadn't asked before now,",1.0,3.0,,9/20/24 10:47,https://www.fishbowlapp.com/post/i-have-bipolar-that-isnt-currently-well-managed-i-messed-up-i-said-somethings-to-a-couple-members-of-team-i-lead-i-shouldnt,33.0,No hashtags found,Unknown,No.,Bipolar and workplace,Yes.,No.,No.,No,No.,No.,No.
Bipolar,a Gerente Comercio Exterior,San Diego State University,Jobs in Sales,9 months,I can only say please nobody apply to work on the optical center named eye contact vision center … the owner is a bipolar person that will only takes you serious if you dress half naked will make your days miserable and will underpay you …. I can only say I needed therapy after working for this man !!!,10.0,1.0,,9/20/24 10:48,https://www.fishbowlapp.com/post/i-can-only-say-please-nobody-apply-to-work-on-the-optical-center-named-eye-contact-vision-center-the-owner-is-a-bipolar,34.0,No hashtags found,Unknown,No.,Negative work experience.,Yes.,No.,Yes.,No.,No.,Yes.,No
Bipolar,a Developer Analyst,San Diego State University,Confession,a year,I have an aunt who is bipolar although I am not I was always told don’t be like her every time I get upset. As an adult I’m very aware of mental illness and question if she is is even bipolar or was it everyone just saying she was all those years putting her in a corner. She had a lot of life happen to her and many reasons to get upset be depressed and even rage out.,3.0,4.0,,9/20/24 10:48,https://www.fishbowlapp.com/post/i-have-an-aunt-who-is-bipolar-although-i-am-not-i-was-always-told-dont-be-like-her-every-time-i-get-upset-as-an-adult-im-very-aware,35.0,No hashtags found,Unknown,No.,Mental illness stigma.,No.,No.,Yes.,No.,No.,Yes.,No.
Bipolar,an Account Manager 1,San Diego State University,Confession,25d,Living with bipolar disorder sucks especially when you come from an Asian American household that doesn’t believe in mental health - you can Google this it’s a toxic culture. I have a lot saved up so I can buy treatment n my own dime now no idea how I’d deal with it as someone depending on my parents. Good luck to those out there who need help message me if you need it.,13.0,2.0,,9/20/24 10:48,https://www.fishbowlapp.com/post/living-with-bipolar-disorder-sucks-especially-when-you-come-from-an-asian-american-household-that-doesnt-believe-in-mental,36.0,No hashtags found,Unknown,No.,Bipolar disorder in,No.,No.,No.,No.,No.,No.,No.
Bipolar,a Senior Consultant,San Diego State University,Confession,4 months,"“This world is bipolar, beautiful for some for others the fuckin' saddest”",,0.0,,9/20/24 10:49,https://www.fishbowlapp.com/post/this-world-is-bipolar-beautiful-for-some-for-others-the-fuckin-saddest,37.0,No hashtags found,Unknown,No.,World's bipolar nature.,No.,No.,No.,No.,No.,No.,No
Bipolar,a Licensed Mental Health Therapist,San Diego State University,Healthcare,9 months,"Mental Health Therapist specializing in PTSD, BiPolar, Anxiety, Depression, and more to assist in the healing and minimizing of different aspects of mental health to maximize the growth for positive and productive outcomes.",6.0,0.0,,9/20/24 10:49,https://www.fishbowlapp.com/post/mental-health-therapist-specializing-in-ptsd-bipolar-anxiety-depression-and-more-to-assist-in-the-healing-and-minimizing-of-different,38.0,No hashtags found,PTSD,Yes.,Mental Health Therapy.,Yes.,No.,No.,No.,No.,No.,No.
Bipolar,a Therapist,San Diego State University,Healthcare,a year,"Can anyone tell me if Hampton House Cherryhill NJ or Princeton House House, Moorsetown is better for virtual IOP with DBT or CBT or both for a 66 year old male with Bipolar? He is compliant with medication but treatment resistant. Hampton Hospital, last year so 2022 kept pointing me away from their own IOP. That raised my antenni.

Thoughts? Help Advice?",2.0,0.0,,9/20/24 10:50,https://www.fishbowlapp.com/post/can-anyone-tell-me-if-hampton-house-cherryhill-nj-or-princeton-house-house-moorsetown-is-better-for-virtual-iop-with-dbt,39.0,No hashtags found,Unknown,No.,Virtual IOP Treatment Options,No.,No.,No.,No.,No.,No.,No.
Bipolar,an Associate,San Diego State University,Depression/Anxiety Talk,a year,"I really hate struggling with bipolar disorder. When I’m in a hypomanic state, I feel SO good. I feel like that’s the real me. And then when it’s over, I find myself mourning that time. The depression hits so much harder after the mania.",9.0,0.0,,9/20/24 10:50,https://www.fishbowlapp.com/post/i-really-hate-struggling-with-bipolar-disorder-when-im-in-a-hypomanic-state-i-feel-so-good-i-feel-like-thats-the-real-me-and,40.0,No hashtags found,Unknown,No.,Bipolar disorder.,No.,No.,No.,No.,No.,No.,No.
Bipolar,an ACD Copywriter 1,San Diego State University,Depression/Anxiety Talk,5 months,"Ive dealt with anxiety and major depression and bipolar issues for the last ten years. I just turned 30 and it's kept me from keeping a full time job, so Ive hoped jobs a lot the last 6 years. I've only been in Columbus for 5 years the only family or person I know is my grandmother. I haven't worked in maybe a Year now but I'm finally ready too, I've had a lot of help to do it. But now I can't find a job and making all the work I have done useless. I just want to work please any help or advice.",3.0,1.0,,9/20/24 11:11,https://www.fishbowlapp.com/post/ive-dealt-with-anxiety-and-major-depression-and-bipolar-issues-for-the-last-ten-years-i-just-turned-30-and-its-kept-me-from,41.0,No hashtags found,Unknown,No.,Job search with mental health,No.,No.,No.,No.,Yes.,No.,Yes.
Bipolar,,San Diego State University,Confession,10 months,"I am seeking people with Bipolar 1 for an article I’m writing. You may stay anonymous, if you wish. The goal of the piece is to help others understand the condition, as well as share treatments that have worked for you and may help others.",1.0,0.0,,9/20/24 11:12,https://www.fishbowlapp.com/post/i-am-seeking-people-with-bipolar-1-for-an-article-im-writing-you-may-stay-anonymous-if-you-wish-the-goal-of-the-piece-is-to,42.0,No hashtags found,Unknown,No.,Bipolar 1,No.,No.,No.,No.,No.,No.,Yes.
Anxiety,a Camp Counselor 1,San Diego State University,Depression/Anxiety Talk,3 months,"I suffer with anxiety everyday and diagnosed. It's hard . Practicing meditation , deep breathing, and take my medicine. If anyone have more tools that would be nice.",86.0,136.0,35.0,2024-09-16 22:43:58,https://www.fishbowlapp.com/post/i-suffer-with-anxiety-everyday-and-diagnosed-its-hard-practicing-meditation-deep-breathing-and-take-my-medicine-if,1.0,No hashtags found,Anxiety,Yes.,Managing anxiety.,No.,No.,No.,Yes.,No.,No.,Yes.
Anxiety,a Senior Associate,San Diego State University,Big Law,4 months,"Am I a failure if I leave big law because of my anxiety issues, I’m trying to fight through it but even have anxiety opening emails.",28.0,82.0,7.0,2024-09-16 22:44:17,https://www.fishbowlapp.com/post/am-i-a-failure-if-i-leave-big-law-because-of-my-anxiety-issues-im-trying-to-fight-through-it-but-even-have-anxiety-opening,2.0,No hashtags found,Anxiety,No.,"Leaving big law,",Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Vice President 1,San Diego State University,Consulting Exit Opportunities,5 months,"To all the consultants who were laid off and still searching, there's still hope. I was laid off by PwC last year and was unemployeed for over a year, with a family of 3 children to feed. I have applied for 300+ roles, with 20+ interviews and 5 final rounds all being rejected. There were so many sleepless nights, self-doubt, anxiety attack, and just total despairity. Today, I finally got an offer from my dream company in tech,with 20% TC raise and potentially much better WLB. (cont. in comment)",321.0,45.0,22.0,2024-09-16 22:44:54,https://www.fishbowlapp.com/post/to-all-the-consultants-who-were-laid-off-and-still-searching-theres-still-hope-i-was-laid-off-by-pwc-last-year-and-was-unemployeed-for,3.0,No hashtags found,Anxiety,No.,Job search struggles.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Product Manager,San Diego State University,Tech,10 months,"Does anyone here who’s job searching while being unemployed feels anxiety on weekends? I got laid off last month and Friday evenings and weekends are really hard for me. The rejection emails start pouring from Friday evening and I know that I won’t get any interview updates or feedback over the weekend. There’s also not much to study as after interviewing for so long you already know the answers to most questions. In short, I just feel terrible on weekends and wonder if this is normal?",124.0,64.0,3.0,2024-09-16 22:45:26,https://www.fishbowlapp.com/post/does-anyone-here-whos-job-searching-while-being-unemployed-feels-anxiety-on-weekends-i-got-laid-off-last-month-and-friday,4.0,No hashtags found,Anxiety,No.,Job searching anxiety.,Yes.,No.,No.,No.,No.,No.,No.
